	Disease	Major category	Subcategory	Inheritance	OMIM	Gene	UpdatedGene	GeneID	Associated features	T cell count	B cell count	Immunoglobulin levels	Neutrophil count	Other affected cells	KEGG_drug	KEGG_pathway	HPOs
Schwachman Diamond syndrome due to DNAJC21 deficiency_DNAJC21_AR	Schwachman Diamond syndrome due to DNAJC21 deficiency	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	AR	617048	DNAJC21	DNAJC21	134218	Metaphyseal changes, short stature, developmental delay, pancreatic dysfunction, bone marrow failure	nan	nan	nan	Low	nan	[]	[]	['HP:0004322', 'HP:0002715', 'HP:0005528', 'HP:0000007', 'HP:0001263', 'HP:0001875', 'HP:0410252']
Schwachman Diamond syndrome due to EFL1 deficiency_EFL1_AR	Schwachman Diamond syndrome due to EFL1 deficiency	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	AR	617941	EFL1	EFL1	79631	Metaphyseal changes, short stature, developmental delay, pancreatic dysfunction, bone marrow failure	nan	nan	nan	Low	nan	[]	['hsa03008  Ribosome biogenesis in eukaryotes']	['HP:0004322', 'HP:0002715', 'HP:0005528', 'HP:0000007', 'HP:0001263', 'HP:0001875', 'HP:0410252']
Elastase deficiency (SCN1)_ELANE_AD	Elastase deficiency (SCN1)	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	AD	130130	ELANE	ELANE	1991	Susceptibility to MDS/leukemia, Severe congenital neutropenia or cyclic neutropenia	nan	nan	nan	Low	nan	['Depelestat: D03686', 'Sivelestat (DG01401): D01918<JP> D03788', 'Ulinastatin: D05183<JP>']	['hsa04613  Neutrophil extracellular trap formation', 'hsa05202  Transcriptional misregulation in cancer', 'hsa05322  Systemic lupus erythematosus']	['HP:0000006', 'HP:0002715', 'HP:0001875', 'HP:0040289', 'HP:0410252']
G6PC3 deficiency (SCN4)_G6PC3_AR	G6PC3 deficiency (SCN4)	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	AR	611045	G6PC3	G6PC3	92579	Structural heart defects, urogenital abnormalities, inner ear deafness, and venous angiectasias of trunks and limbs	nan	nan	nan	Low	nan	[]	['hsa00010  Glycolysis / Gluconeogenesis', 'hsa00052  Galactose metabolism', 'hsa00500  Starch and sucrose metabolism', 'hsa01100  Metabolic pathways', 'hsa04068  FoxO signaling pathway', 'hsa04151  PI3K-Akt signaling pathway', 'hsa04152  AMPK signaling pathway', 'hsa04910  Insulin signaling pathway', 'hsa04920  Adipocytokine signaling pathway', 'hsa04922  Glucagon signaling pathway', 'hsa04931  Insulin resistance', 'hsa04973  Carbohydrate digestion and absorption']	['HP:0002715', 'HP:0001627', 'HP:0000365', 'HP:0000119', 'HP:0000007', 'HP:0001875', 'HP:0410252', 'HP:0009900']
Glycogen storage disease type 1b_SLC37A4_AR	Glycogen storage disease type 1b	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	AR	602671	G6PT1	SLC37A4	2542	Fasting hypoglycemia, lactic acidosis, hyperlipidemia, hepatomegaly	nan	nan	nan	Low	Monocytes	[]	['hsa04973  Carbohydrate digestion and absorption']	['HP:0003077', 'HP:0002715', 'HP:0002240', 'HP:0000007', 'HP:0001943', 'HP:0001875', 'HP:0003128', 'HP:0003162', 'HP:0410252', 'HP:0001941']
GFI 1 deficiency (SCN2)_GFI1_AD	GFI 1 deficiency (SCN2)	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	AD	600871	GFI1	GFI1	2672	B/T lymphopenia	nan	nan	nan	Low	nan	[]	[]	['HP:0001888', 'HP:0000006', 'HP:0002715', 'HP:0001875', 'HP:0410252']
HAX1 deficiency (Kostmann Disease) (SCN3)_HAX1_AR	HAX1 deficiency (Kostmann Disease) (SCN3)	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	AR	605998	HAX1	HAX1	10456	Cognitive and neurological defects in patients with defects in both HAX1 isoforms, susceptibility to MDS/leukemia	nan	nan	nan	Low	nan	[]	[]	['HP:0000007', 'HP:0410252', 'HP:0002715', 'HP:0001875']
HYOU1 deficiency_HYOU1_AR	HYOU1 deficiency	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	AR	601746	HYOU1	HYOU1	10525	Hypoglycemia, inflammatory complications	nan	nan	nan	Low	nan	[]	['hsa04141  Protein processing in endoplasmic reticulum']	['HP:0002715', 'HP:0000007', 'HP:0001875', 'HP:0001943', 'HP:0410252']
JAGN1 deficiency_JAGN1_AR	JAGN1 deficiency	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	AR	616012	JAGN1	JAGN1	84522	Myeloid maturation arrest, osteopenia	nan	nan	nan	Low	nan	[]	[]	['HP:0000938', 'HP:0002715', 'HP:0000007', 'HP:0001875', 'HP:0410253', 'HP:0410252']
P14/LAMTOR2 deficiency_LAMTOR2_AR	P14/LAMTOR2 deficiency	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	AR	610389	LAMTOR2	LAMTOR2	28956	Neutropenia, Hypogammaglobulinemia ¯CD8 cytotoxicity, partial albinism, growth failure	nan	nan	nan	Low	Monocytes	[]	['hsa04150  mTOR signaling pathway']	['HP:0001022', 'HP:0002715', 'HP:0000007', 'HP:0001510', 'HP:0001875', 'HP:0007443', 'HP:0004313', 'HP:0410252']
Shwachman-Diamond Syndrome due to SBSD deficiency_SBDS_AR	Shwachman-Diamond Syndrome due to SBSD deficiency	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	AR	607444	SBDS	SBDS	51119	Pancytopenia, exocrine pancreatic insufficiency, chondrodysplasia	nan	nan	nan	Low	nan	[]	['hsa03008  Ribosome biogenesis in eukaryotes']	['HP:0002715', 'HP:0001738', 'HP:0000007', 'HP:0001875', 'HP:0001876', 'HP:0410252']
SMARCD2 deficiency_SMARCD2_AR	SMARCD2 deficiency	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	AR	601736	SMARCD2	SMARCD2	6603	Neutropenia, developmental aberrations, skeletal abnormalities, hematopoietic stem cells, myelodysplasia	nan	nan	nan	Low	nan	[]	['hsa04714  Thermogenesis', 'hsa05225  Hepatocellular carcinoma']	['HP:0002863', 'HP:0002715', 'HP:0000007', 'HP:0000924', 'HP:0001875', 'HP:0410252']
SRP54 deficiency_SRP54_AD	SRP54 deficiency	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	AD		SRP54	SRP54	6729	Schwachman Diamond features	nan	nan	nan	Low	nan	[]	['hsa03060  Protein export']	['HP:0000006', 'HP:0410252', 'HP:0002715', 'HP:0001875']
Barth Syndrome, (3-Methylglutaconic aciduria type II)_TAFAZZIN_XL	Barth Syndrome, (3-Methylglutaconic aciduria type II)	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	XL	300394	TAZ	TAFAZZIN	6901	Cardiomyopathy, myopathy, growth retardation	nan	nan	nan	Low	nan	[]	['hsa00564  Glycerophospholipid metabolism']	['HP:0002715', 'HP:0001510', 'HP:0001875', 'HP:0001638', 'HP:0003198', 'HP:0001417', 'HP:0410252']
Clericuzio syndrome (Poikiloderma with neutropenia)_USB1_AR	Clericuzio syndrome (Poikiloderma with neutropenia)	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	AR	613276	USB1	USB1	79650	Retinopathy, developmental delay, facial dysmorphisms, poikiloderma	nan	nan	nan	Low	nan	[]	[]	['HP:0002715', 'HP:0000007', 'HP:0001263', 'HP:0001875', 'HP:0001029', 'HP:0410252', 'HP:0000488']
Cohen syndrome_VPS13B_AR	Cohen syndrome	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	AR	607817	VPS13B	VPS13B	157680	Dysmorphism, mental retardation, obesity, deafness, neutropenia	nan	nan	nan	Low	nan	[]	[]	['HP:0002715', 'HP:0000365', 'HP:0001513', 'HP:0000007', 'HP:0001875', 'HP:0001249', 'HP:0410252']
VPS45 deficiency (SCN5)_VPS45_AR	VPS45 deficiency (SCN5)	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	AR	610035	VPS45	VPS45	11311	Extramedullary hematopoiesis, bone marrow fibrosis, nephromegaly	nan	nan	nan	Low	nan	[]	['hsa04144  Endocytosis']	['HP:0001978', 'HP:0002715', 'HP:0000105', 'HP:0000007', 'HP:0001875', 'HP:0410252']
X-linked neutropenia/ myelodysplasia WAS GOF_WAS_XL GOF	X-linked neutropenia/ myelodysplasia WAS GOF	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	XL GOF	300392	WAS	WAS	7454	Neutropenia, myeloid maturation arrest, monocytopenia, variable lymphoid anomalies	nan	nan	nan	Low	nan	[]	['hsa04062  Chemokine signaling pathway', 'hsa04520  Adherens junction', 'hsa04530  Tight junction', 'hsa04666  Fc gamma R-mediated phagocytosis', 'hsa05135  Yersinia infection', 'hsa05231  Choline metabolism in cancer']	['HP:0002715', 'HP:0012312', 'HP:0001875', 'HP:0410253', 'HP:0001417', 'HP:0410252']
b actin deficiency_ACTB_AD	b actin deficiency	Table 5 Congenital defects of phagocyte number or function	Subtable 2 Defects of Motility	AD	102630	ACTB	ACTB	60	Mental retardation, short stature	nan	nan	nan	nan	nan	[]	['hsa04015  Rap1 signaling pathway', 'hsa04145  Phagosome', 'hsa04210  Apoptosis', 'hsa04390  Hippo signaling pathway', 'hsa04510  Focal adhesion', 'hsa04520  Adherens junction', 'hsa04530  Tight junction', 'hsa04611  Platelet activation', 'hsa04613  Neutrophil extracellular trap formation', 'hsa04670  Leukocyte transendothelial migration', 'hsa04714  Thermogenesis', 'hsa04810  Regulation of actin cytoskeleton', 'hsa04919  Thyroid hormone signaling pathway', 'hsa04921  Oxytocin signaling pathway', 'hsa04971  Gastric acid secretion', 'hsa05014  Amyotrophic lateral sclerosis', 'hsa05100  Bacterial invasion of epithelial cells', 'hsa05110  Vibrio cholerae infection', 'hsa05130  Pathogenic Escherichia coli infection', 'hsa05131  Shigellosis', 'hsa05132  Salmonella infection', 'hsa05135  Yersinia infection', 'hsa05164  Influenza A', 'hsa05205  Proteoglycans in cancer', 'hsa05225  Hepatocellular carcinoma', 'hsa05410  Hypertrophic cardiomyopathy', 'hsa05412  Arrhythmogenic right ventricular cardiomyopathy', 'hsa05414  Dilated cardiomyopathy', 'hsa05416  Viral myocarditis', 'hsa05418  Fluid shear stress and atherosclerosis']	['HP:0004322', 'HP:0000006', 'HP:0002715', 'HP:0001249']
CEBPE defects_CEBPE_AR GOF	CEBPE defects	Table 5 Congenital defects of phagocyte number or function	Subtable 2 Defects of Motility	AR GOF		CEBPE	CEBPE	1053	Recurrent abdominal pain, aseptic fevers, inflammation, abscesses, type I IFN signature	nan	nan	nan	nan	Mild bleeding diathesis	[]	['hsa05202  Transcriptional misregulation in cancer', 'hsa05221  Acute myeloid leukemia']	['HP:0002715', 'HP:0000007', 'HP:0025615', 'HP:0012531', 'HP:0010280', 'HP:0001945', 'HP:0002027']
Cystic fibrosis_CFTR_AR	Cystic fibrosis	Table 5 Congenital defects of phagocyte number or function	Subtable 2 Defects of Motility	AR	602421	CFTR	CFTR	1080	Respiratory infections, pancreatic insufficiency, elevated sweat chloride	nan	nan	nan	Normal	Macrophage dysfunction	['Bamocaftor (DG03043): D11535 D11536', 'Crofelemer: D03605<US>', 'Deutivacaftor: D11423', 'Elexacaftor: D11507', 'Galicaftor: D11724', 'Icenticaftor: D12454', 'Ivacaftor: D09916<US>', 'Ivacaftor and lumacaftor: D10685<US>', 'Ivacaftor and tezacaftor: D11042<US>', 'Ivacaftor, tezacaftor and elexacaftor: D11700<US>', 'Lumacaftor: D10134', 'Navocaftor: D12140', 'Nesolicaftor: D11682', 'Olacaftor: D11402', 'Posenacaftor: D11683', 'Tezacaftor: D11041']	['hsa02010  ABC transporters', 'hsa04024  cAMP signaling pathway', 'hsa04152  AMPK signaling pathway', 'hsa04530  Tight junction', 'hsa04971  Gastric acid secretion', 'hsa04972  Pancreatic secretion', 'hsa04976  Bile secretion', 'hsa05110  Vibrio cholerae infection']	['HP:0002783', 'HP:0002715', 'HP:0012236', 'HP:0001738', 'HP:0011947', 'HP:0000007', 'HP:0000975']
Papillon-Lefèvre Syndrome_CTSC_AR	Papillon-Lefèvre Syndrome	Table 5 Congenital defects of phagocyte number or function	Subtable 2 Defects of Motility	AR	602365	CTSC	CTSC	1075	Periodontitis, palmoplantar hyperkeratosis in some patients	nan	nan	nan	Normal	nan	['Brensocatib: D12120']	['hsa04142  Lysosome', 'hsa04210  Apoptosis']	['HP:0000704', 'HP:0002715', 'HP:0000962', 'HP:0000007', 'HP:0000972']
Leukocyte adhesion deficiency type 3 (LAD3)_FERMT3_AR	Leukocyte adhesion deficiency type 3 (LAD3)	Table 5 Congenital defects of phagocyte number or function	Subtable 2 Defects of Motility	AR	607901	FERMT3	FERMT3	83706	LAD type 1 plus bleeding tendency	nan	nan	nan	High	nan	[]	['hsa04611  Platelet activation']	['HP:0410258', 'HP:0011897', 'HP:0002715', 'HP:0000007', 'HP:0001892']
Localized juvenile periodontitis_FPR1_AR	Localized juvenile periodontitis	Table 5 Congenital defects of phagocyte number or function	Subtable 2 Defects of Motility	AR	136537	FPR1	FPR1	2357	Periodontitis only	nan	nan	nan	Normal	nan	[]	['hsa04015  Rap1 signaling pathway', 'hsa04080  Neuroactive ligand-receptor interaction', 'hsa04613  Neutrophil extracellular trap formation', 'hsa05150  Staphylococcus aureus infection']	['HP:0000007', 'HP:0000704', 'HP:0002715']
Leukocyte adhesion deficiency type 1 (LAD1)_ITGB2_AR	Leukocyte adhesion deficiency type 1 (LAD1)	Table 5 Congenital defects of phagocyte number or function	Subtable 2 Defects of Motility	AR	600065	ITGB2	ITGB2	3689	Delayed cord separation, skin ulcers, periodontitis, leukocytosis	nan	nan	nan	High	nan	['Erlizumab: D04045', 'Fuzapladib sodium hydrate: D11919', 'Rovelizumab: D08993']	['hsa04015  Rap1 signaling pathway', 'hsa04145  Phagosome', 'hsa04390  Hippo signaling pathway', 'hsa04514  Cell adhesion molecules', 'hsa04610  Complement and coagulation cascades', 'hsa04613  Neutrophil extracellular trap formation', 'hsa04650  Natural killer cell mediated cytotoxicity', 'hsa04670  Leukocyte transendothelial migration', 'hsa04810  Regulation of actin cytoskeleton', 'hsa05133  Pertussis', 'hsa05134  Legionellosis', 'hsa05140  Leishmaniasis', 'hsa05144  Malaria', 'hsa05146  Amoebiasis', 'hsa05150  Staphylococcus aureus infection', 'hsa05152  Tuberculosis', 'hsa05166  Human T-cell leukemia virus 1 infection', 'hsa05323  Rheumatoid arthritis', 'hsa05416  Viral myocarditis']	['HP:0410258', 'HP:0011897', 'HP:0000704', 'HP:0002715', 'HP:0001974', 'HP:0000007', 'HP:0200042']
Neutropenia with combined immune deficiency due to MKL1 deficiency_MRTFA_AR	Neutropenia with combined immune deficiency due to MKL1 deficiency	Table 5 Congenital defects of phagocyte number or function	Subtable 2 Defects of Motility	AR	606078	MKL1	MRTFA	57591	Mild thrombocytopenia	nan	nan	nan	Low	nan	[]	[]	['HP:0002715', 'HP:0000007', 'HP:0001875', 'HP:0001873', 'HP:0410252']
Rac 2 deficiency (LOF)_RAC2_AD LOF	Rac 2 deficiency (LOF)	Table 5 Congenital defects of phagocyte number or function	Subtable 2 Defects of Motility	AD LOF	602049	RAC2	RAC2	5880	Poor wound healing, leukocytosis	nan	nan	nan	High	nan	[]	['hsa04010  MAPK signaling pathway', 'hsa04014  Ras signaling pathway', 'hsa04015  Rap1 signaling pathway', 'hsa04024  cAMP signaling pathway', 'hsa04062  Chemokine signaling pathway', 'hsa04071  Sphingolipid signaling pathway', 'hsa04310  Wnt signaling pathway', 'hsa04360  Axon guidance', 'hsa04370  VEGF signaling pathway', 'hsa04510  Focal adhesion', 'hsa04520  Adherens junction', 'hsa04613  Neutrophil extracellular trap formation', 'hsa04650  Natural killer cell mediated cytotoxicity', 'hsa04662  B cell receptor signaling pathway', 'hsa04664  Fc epsilon RI signaling pathway', 'hsa04666  Fc gamma R-mediated phagocytosis', 'hsa04670  Leukocyte transendothelial migration', 'hsa04810  Regulation of actin cytoskeleton', 'hsa05020  Prion disease', 'hsa05135  Yersinia infection', 'hsa05163  Human cytomegalovirus infection', 'hsa05170  Human immunodeficiency virus 1 infection', 'hsa05200  Pathways in cancer', 'hsa05210  Colorectal cancer', 'hsa05212  Pancreatic cancer', 'hsa05231  Choline metabolism in cancer', 'hsa05415  Diabetic cardiomyopathy', 'hsa05416  Viral myocarditis', 'hsa05418  Fluid shear stress and atherosclerosis']	['HP:0410258', 'HP:0000006', 'HP:0011897', 'HP:0001058', 'HP:0002715', 'HP:0001974']
Leukocyte adhesion deficiency type 2   (LAD2)_SLC35C1_AR	Leukocyte adhesion deficiency type 2   (LAD2)	Table 5 Congenital defects of phagocyte number or function	Subtable 2 Defects of Motility	AR	605881	SLC35C1	SLC35C1	55343	Mild LAD type 1 features with hh-blood group, growth retardation, developmental delay	nan	nan	nan	High	nan	[]	[]	['HP:0410258', 'HP:0011897', 'HP:0002715', 'HP:0000007', 'HP:0001510', 'HP:0001263']
WDR1 deficiency (Lazy leukocyte)_WDR1_AR	WDR1 deficiency (Lazy leukocyte)	Table 5 Congenital defects of phagocyte number or function	Subtable 2 Defects of Motility	AR	604734	WDR1	WDR1	9948	Mild neutropenia, poor wound healing, severe stomatitis, neutrophil nuclei herniate	nan	nan	nan	Low	nan	[]	[]	['HP:0011897', 'HP:0001058', 'HP:0002715', 'HP:0000007', 'HP:0001875', 'HP:0010280']
Autosomal recessive CGD p22phox_CYBA_AR	Autosomal recessive CGD p22phox	Table 5 Congenital defects of phagocyte number or function	Subtable 3 Defects of Respiratory Burst	AR	608508	CYBA	CYBA	1535	Infections, autoinflammatory phenotype	nan	nan	Normal	Normal	Neutrophil dysfunction	[]	['hsa04145  Phagosome', 'hsa04380  Osteoclast differentiation', 'hsa04613  Neutrophil extracellular trap formation', 'hsa04621  NOD-like receptor signaling pathway', 'hsa04670  Leukocyte transendothelial migration', 'hsa05020  Prion disease', 'hsa05140  Leishmaniasis', 'hsa05208  Chemical carcinogenesis - reactive oxygen species', 'hsa05415  Diabetic cardiomyopathy', 'hsa05417  Lipid and atherosclerosis', 'hsa05418  Fluid shear stress and atherosclerosis']	['HP:0000007', 'HP:0002718', 'HP:0002715']
X-linked chronic granulomatous disease (CGD), gp91phox_CYBB_XL	X-linked chronic granulomatous disease (CGD), gp91phox	Table 5 Congenital defects of phagocyte number or function	Subtable 3 Defects of Respiratory Burst	XL	300481	CYBB	CYBB	1536	Infections, autoinflammatory phenotype, IBD, McLeod phenotype in patients with deletions extending into the contiguous Kell locus	nan	nan	Normal	Normal	Neutrophil dysfunction	[]	['hsa04066  HIF-1 signaling pathway', 'hsa04145  Phagosome', 'hsa04216  Ferroptosis', 'hsa04217  Necroptosis', 'hsa04613  Neutrophil extracellular trap formation', 'hsa04621  NOD-like receptor signaling pathway', 'hsa04670  Leukocyte transendothelial migration', 'hsa04933  AGE-RAGE signaling pathway in diabetic complications', 'hsa05010  Alzheimer disease', 'hsa05020  Prion disease', 'hsa05022  Pathways of neurodegeneration - multiple diseases', 'hsa05140  Leishmaniasis', 'hsa05171  Coronavirus disease - COVID-19', 'hsa05415  Diabetic cardiomyopathy', 'hsa05417  Lipid and atherosclerosis']	['HP:0001417', 'HP:0002037', 'HP:0002718', 'HP:0002715']
Autosomal recessive CGD p47phox_NCF1_AR	Autosomal recessive CGD p47phox	Table 5 Congenital defects of phagocyte number or function	Subtable 3 Defects of Respiratory Burst	AR	608512	NCF1	NCF1	653361	Infections, autoinflammatory phenotype	nan	nan	Normal	Normal	Neutrophil dysfunction	[]	['hsa04062  Chemokine signaling pathway', 'hsa04145  Phagosome', 'hsa04380  Osteoclast differentiation', 'hsa04613  Neutrophil extracellular trap formation', 'hsa04666  Fc gamma R-mediated phagocytosis', 'hsa04670  Leukocyte transendothelial migration', 'hsa05020  Prion disease', 'hsa05140  Leishmaniasis', 'hsa05208  Chemical carcinogenesis - reactive oxygen species', 'hsa05415  Diabetic cardiomyopathy', 'hsa05417  Lipid and atherosclerosis', 'hsa05418  Fluid shear stress and atherosclerosis']	['HP:0000007', 'HP:0002718', 'HP:0002715']
Autosomal recessive CGD p67phox_NCF2_AR	Autosomal recessive CGD p67phox	Table 5 Congenital defects of phagocyte number or function	Subtable 3 Defects of Respiratory Burst	AR	608515	NCF2	NCF2	4688	Infections, autoinflammatory phenotype	nan	nan	Normal	Normal	Neutrophil dysfunction	[]	['hsa04145  Phagosome', 'hsa04380  Osteoclast differentiation', 'hsa04613  Neutrophil extracellular trap formation', 'hsa04670  Leukocyte transendothelial migration', 'hsa05020  Prion disease', 'hsa05140  Leishmaniasis', 'hsa05208  Chemical carcinogenesis - reactive oxygen species', 'hsa05415  Diabetic cardiomyopathy', 'hsa05417  Lipid and atherosclerosis', 'hsa05418  Fluid shear stress and atherosclerosis']	['HP:0000007', 'HP:0002718', 'HP:0002715']
Autosomal recessive CGD p40phox_NCF4_AR	Autosomal recessive CGD p40phox	Table 5 Congenital defects of phagocyte number or function	Subtable 3 Defects of Respiratory Burst	AR	601488	NCF4	NCF4	4689	Infections, autoinflammatory phenotype	nan	nan	Normal	Normal	Neutrophil dysfunction	[]	['hsa04145  Phagosome', 'hsa04380  Osteoclast differentiation', 'hsa04613  Neutrophil extracellular trap formation', 'hsa04670  Leukocyte transendothelial migration', 'hsa05020  Prion disease', 'hsa05140  Leishmaniasis', 'hsa05415  Diabetic cardiomyopathy', 'hsa05417  Lipid and atherosclerosis']	['HP:0000007', 'HP:0002718', 'HP:0002715']
Autosomal recessive CGD EROS_CYBC1_AR	Autosomal recessive CGD EROS	Table 5 Congenital defects of phagocyte number or function	Subtable 3 Defects of Respiratory Burst	AR	618334	CYBC1	CYBC1	79415	nan	nan	nan	Normal	Normal	Neutrophil dysfunction	[]	[]	['HP:0000007', 'HP:0002718', 'HP:0002715']
G6PD deficiency Class I_G6PD_XL	G6PD deficiency Class I	Table 5 Congenital defects of phagocyte number or function	Subtable 3 Defects of Respiratory Burst	XL	305900	G6PD	G6PD	2539	Infections	nan	nan	Normal	Normal	Neutrophil dysfunction	[]	['hsa00030  Pentose phosphate pathway', 'hsa00480  Glutathione metabolism', 'hsa01100  Metabolic pathways', 'hsa01200  Carbon metabolism', 'hsa05230  Central carbon metabolism in cancer', 'hsa05415  Diabetic cardiomyopathy']	['HP:0001417', 'HP:0002718', 'HP:0002715']
Congenital pulmonary alveolar proteinosis due to CSF2RA mutations_CSF2RA_XL	Congenital pulmonary alveolar proteinosis due to CSF2RA mutations	Table 5 Congenital defects of phagocyte number or function	Subtable 4 Other Non-Lymphoid Defects	XL	300770	CSF2RA	CSF2RA	1438	Alveolar proteinosis	Normal	Normal	Normal	Normal	Alveolar macrophages	['Mavrilimumab: D09930', 'Molgramostim: D05066', 'Regramostim: D05712', 'Sargramostim: D05803<US>']	['hsa04060  Cytokine-cytokine receptor interaction', 'hsa04630  JAK-STAT signaling pathway', 'hsa04640  Hematopoietic cell lineage', 'hsa05200  Pathways in cancer']	['HP:0001417', 'HP:0006517']
Congenital pulmonary alveolar proteinosis due to CSF2RB mutations_CSF2RB_AR	Congenital pulmonary alveolar proteinosis due to CSF2RB mutations	Table 5 Congenital defects of phagocyte number or function	Subtable 4 Other Non-Lymphoid Defects	AR	614370	CSF2RB	CSF2RB	1439	Alveolar proteinosis	Normal	Normal	Normal	Normal	Alveolar macrophages	[]	['hsa04060  Cytokine-cytokine receptor interaction', 'hsa04210  Apoptosis', 'hsa04630  JAK-STAT signaling pathway', 'hsa05200  Pathways in cancer']	['HP:0006517', 'HP:0000007']
GATA2 deficiency (MonoMac syndrome)_GATA2_AD	GATA2 deficiency (MonoMac syndrome)	Table 5 Congenital defects of phagocyte number or function	Subtable 4 Other Non-Lymphoid Defects	AD	137295	GATA2	GATA2	2624	Susceptibility to mycobacteria, HPV, histoplasmosis, alveolar proteinosis, MDS/AML/CMMoL, lymphedema	nan	Declining	Normal	Normal	Low monocytes, DC, NK	[]	[]	['HP:0000006', 'HP:0002715', 'HP:0001004', 'HP:0012312', 'HP:0032256', 'HP:0006517']
Macrophage gp91 phox deficiency_CYBB_XL	Macrophage gp91 phox deficiency	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease (MSMD)	XL	300481	CYBB	CYBB	1536	Isolated susceptibility to mycobacteria	Normal	Normal	Normal	Normal	Macrophage dysfunction	[]	['hsa04066  HIF-1 signaling pathway', 'hsa04145  Phagosome', 'hsa04216  Ferroptosis', 'hsa04217  Necroptosis', 'hsa04613  Neutrophil extracellular trap formation', 'hsa04621  NOD-like receptor signaling pathway', 'hsa04670  Leukocyte transendothelial migration', 'hsa04933  AGE-RAGE signaling pathway in diabetic complications', 'hsa05010  Alzheimer disease', 'hsa05020  Prion disease', 'hsa05022  Pathways of neurodegeneration - multiple diseases', 'hsa05140  Leishmaniasis', 'hsa05171  Coronavirus disease - COVID-19', 'hsa05415  Diabetic cardiomyopathy', 'hsa05417  Lipid and atherosclerosis']	['HP:0001417', 'HP:0011274', 'HP:0002715']
IFNG deficiency_IFNG_AR	IFNG deficiency	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease (MSMD)	AR		IFNG	IFNG	3458	Susceptibility to mycobacteria	Normal	Normal	Normal	nan	nan	['Emapalumab: D11120<US>', 'Fontolizumab: D04242']	['hsa03050  Proteasome', 'hsa04060  Cytokine-cytokine receptor interaction', 'hsa04066  HIF-1 signaling pathway', 'hsa04217  Necroptosis', 'hsa04350  TGF-beta signaling pathway', 'hsa04380  Osteoclast differentiation', 'hsa04612  Antigen processing and presentation', 'hsa04630  JAK-STAT signaling pathway', 'hsa04650  Natural killer cell mediated cytotoxicity', 'hsa04657  IL-17 signaling pathway', 'hsa04658  Th1 and Th2 cell differentiation', 'hsa04659  Th17 cell differentiation', 'hsa04660  T cell receptor signaling pathway', 'hsa04940  Type I diabetes mellitus', 'hsa05140  Leishmaniasis', 'hsa05142  Chagas disease', 'hsa05143  African trypanosomiasis', 'hsa05144  Malaria', 'hsa05145  Toxoplasmosis', 'hsa05146  Amoebiasis', 'hsa05152  Tuberculosis', 'hsa05160  Hepatitis C', 'hsa05164  Influenza A', 'hsa05168  Herpes simplex virus 1 infection', 'hsa05200  Pathways in cancer', 'hsa05235  PD-L1 expression and PD-1 checkpoint pathway in cancer', 'hsa05321  Inflammatory bowel disease', 'hsa05322  Systemic lupus erythematosus', 'hsa05323  Rheumatoid arthritis', 'hsa05330  Allograft rejection', 'hsa05332  Graft-versus-host disease', 'hsa05418  Fluid shear stress and atherosclerosis']	['HP:0000007', 'HP:0011274', 'HP:0002715']
